sales_name	gstin
10 MUFFINS	33AAOFT0781F1Z4
13 EXPRESS	24ASFPR2448J1ZJ
1 MILE HEALTH CARE	08BMSPJ7324K1ZG
1MILE HEALTHCARE 1ST FLOOR GALAXY MARKETING NEAR GAMBHIR HOSPITAL	08BMSPJ7324K1ZG
21ST CENTURY ENVIRO ENGINEERS PVT LTD	03AAACZ3301J1ZQ
24 ASHOK FASTENERS PVT LTD	27AABCZ5192N1ZM
24ASHOK FASTENERS PVT LTD	27AABCZ5192N1ZM
24 CARATS MITHAI MAGIC	24AACFZ8367K1ZK
2D BSC TECHNOLOGIES	07AAAFZ8557B1Z1
2K ENGINEERING CORPORATION	06AAAFZ9208K1ZU
3 AN TELECOM	23ANYPT9196P1ZF
3AN TELECOM	23ANYPT9196P1ZF
3A YANTRA INC	09AABFZ6521C1ZA
3B AUTO COMPONENTS PVT LTD	27AABCZ2706L1Z4
3CAD HOSPITALITY LLP	07AABFZ8359E1ZU
3D AUTO TECH	27AAAFZ9436F1ZV
3D CONCEPT ANALYSIS & DEVELOPMENT OPMENT	27AAACZ3259R1ZJ
3D FELTS	07AAAPJ2768E1ZX
3E SALESERV	24AABFZ8688C1ZU
3EV INDUSTRIES PRIVATE LIMITED	29AABCZ3600R1ZT
3EV INDUSTRIES PVT LTD	29AABCZ3600R1ZT
3 GENERATION	09AAAFZ6568L1ZD
3 GENERATIONS	02AAAFZ6568L1ZR
3 GENERATIONS	09AAAFZ6568L1ZD
3 GENERATIONS (2)	09AAAFZ6568L1ZD
3GEN EXTRUSIONS	19AABFZ2219D1ZC
3M INDIA LIMITED	07AAACB5724H1ZW
3M INDIA LIMITED	08AAACB5724H1ZU
3M INDIA LIMITED	09AAACB5724H3ZQ
3M INDIA LTD	06AAACB5724H1ZY
3M INDIA LTD	19AAACB5724H1ZR
3M INDIA LTD	24AAACB5724H1Z0
3M INDIA LTD	27AAACB5724H1ZU
3M INDIA LTD	29AAACB5724H1ZQ
3M INDIA LTD	33AAACB5724H1Z1
3M SOUTH ASIA MANUFACTURING PVT LTD	27AAECN1608A1Z1
3Q PRINTING TECHNOLOGIES PVT LTD	27AAACD3417F1Z2
3RD HORMONIC	19AAAFZ2820K1ZZ
3R TAPE INDUSTRIES	24AACFZ3015C1ZQ
3S BROTHERS INFRA P LTD	08AAACH7354K1ZB
3S DESIGNS AND TECHNOLOGIES	29ABLFS9591C1ZJ
3S ENGINEERING SOLUTIONS	07BVMPC6289B1ZI
3S FITNESS TECHNOLOGIES PVT LTD	01AAACZ9633K1Z5
3SI ECO POWER LLP	37AABFZ9129Q1Z8
3S IMPACT LLP	24AACFZ5420B1ZN
3W CREATORS LLP	24AAAFZ7136L2ZU
4B SURGICO	18AACFZ2059G1Z1
4CARE LIFESCIENCE PVT LTD	24AAACZ5741L1Z2
4 M	33AACFZ7260M1ZR
4MATION BIOSCIENCES PVT LTD	19AABCZ5677Q1Z7
4SPID CONSULTANCY INDIA PVT LTD	27AAACZ5707E1ZD
4S SYNERGIES PRIVATE LIMITED	06AAACZ6373J1ZY
4S SYNERGIES PVT LTD	06AAACZ6373J1ZY
5M FANDG TRADING P LTD	29AABCZ0864H1Z2
5S PHARMA DISTRIBUTIONS PVT LTD	29AACCO2163P1ZZ
7 APPLE HOTELS PVT LTD	30AAACZ6923G1ZI
7 CARE HEALTH & EQUIPMENTS LLP	27AACFZ6154E1Z2
7TWELVE	27AACFZ9354N1ZB
99 CRYSTALS AGRO	36AACFZ2352E1ZB
9 HILLS FOOD PROCESSING	18AACFZ7019E1Z3
9SIGN INFRASOLUTIONS PVT LTD	29AABCZ5654K1ZP
A1 CLAMPS INDIA PVT LTD	07AAACK6524E1ZT
A1 CLASSIC FLEXIPACK PRIVATE LTD	06AAOCA5242P1Z7
A1 CLASSIC FLEXI PACK PVT LTD	06AAOCA5242P1Z7
A1CLASSIC FLEXI PACK PVT LTD	06AAOCA5242P1Z7
A1 CLASSIC FLXI	06AAOCA5242P1Z7
A1 HEAVY EQUIPMENT DEVELOPER	06AEXPC3062R1ZV
A1 HEAVY EQUIPMENT DEVLOPER	06AEXPC3062R1ZV
A 1 SUREJA INDUSTRIES	24AAOFM4441P1ZS
A2 DESIGN LLP	06ABKFA1583D1ZO
A2 EVENT PLANNERS	09ABNFA3350K1Z7
A2 INDUSTRIAL SOLUTIONS	04ABLFA7913Q1ZY
A2K INNOVATIONS	06ABQFA0381D1ZO
A2Z KNITTING INDUSTRIES	27AASCA4282D1ZI
A2Z RETAIL	06ACVPM0357R1ZR
A4 BUSINESS HUB	24AAVFR3951N1ZF
A 7 ENGG ASSOCIATES	23AAVFA3716G1ZI
AAA FASTENERS	06AAUFA3296N1ZP
AAA FASTENERS	06AFWPD7583A1ZA
A & A ALLOYS	23ABPFA0471M1ZB
AAAS INDUSTRIES SOLUTION PVT LTD	05AATCA5230E1ZV
AAA TOOLING SOLUTION	08ADEPT3435D1ZN
AABAD MARKETING PRIVATE LTD	24AAFCA2920F1Z8
AABHA CONTRACEPTIVES PVT LTD	27AAGCA4900Q1ZE
AAB HEAT EXCHANGERS PVT LTD	06AAPCA4007R1Z9
AABINAV RUBBER INDUSTRY	33DAZPS9367C1ZW
AABU CARPET IND MADHOSINGH AURAI	09ABZPU5577A1ZU
AABU CARPET INDUSTRIES	09ABZPU5577A1ZU
AACHARAN ENTERPRISES PVT LTD	08AACCS6084P1ZN
AACHI SPICES AND FOODS PVT LTD	33AAICA3363P1ZE
AAC NATURAL PRODUCTS PRIVATE LTD	09AARCA5299B1ZA
AA CRAFT ARCH TECH SOLUTION	20ABEFA3825E2Z4
A & A CREATIONS	09ACIPT6522A1ZN
A&A CREATIONS	09ACIPT6522A1ZN
AADARSH PVT LTD	23AAHCA0975A1Z7
AAD ENGRAIVING	19ABMFA7958G1ZU
AADHAR MEDICOSE	08BNBPS2782J1ZK
AADHYA ENTERPRISES	07AAWFA4183A1ZG
AADI LOCKS PVT LTD	09AAJCA2716K1ZJ
AADINATH BRASS	24AQKPM3209P1ZI
