	sales_name	gstin	26as_name	tan
0	3 generation	09AAAFZ6568L1ZD	3 generations	DELG13661E
1	3 generations	02AAAFZ6568L1ZR	3 generations	DELG13661E
2	3 generations	09AAAFZ6568L1ZD	3 generations	DELG13661E
3	3m india ltd	06AAACB5724H1ZY	3m india ltd	BLRM10885A
4	3m india ltd	19AAACB5724H1ZR	3m india ltd	BLRM10885A
5	3m india ltd	24AAACB5724H1Z0	3m india ltd	BLRM10885A
6	3m india ltd	27AAACB5724H1ZU	3m india ltd	BLRM10885A
7	3m india ltd	29AAACB5724H1ZQ	3m india ltd	BLRM10885A
8	3m india ltd	33AAACB5724H1Z1	3m india ltd	BLRM10885A
9	4b surgico	18AACFZ2059G1Z1	4b surgico	SHLB04841E
10	4s synergies private limited	06AAACZ6373J1ZY	4 s synergies private limited	DELS52796C
11	aadya life sciences llp	09ABCFA7192A1ZN	aadya life sciences llp	DELA39073G
12	aaj enterprises pvt ltd	06AAFCA4315G1Z3	aaj enterprises pvt ltd	DELA16991C
13	aaliya industries	02AALFA7443A1Z0	aaliya industries	DELA23514B
14	aameya polymers llp	23ABEFA7602B1Z6	aameya polymers llp	BPLA08714G
15	aa nutritions	17AANFA0954A1ZT	a nutritions	SHLA01195F
16	aaran 1 engineering private limited	36AANCA6278Q1ZP	aaran 1 engineering private limited	HYDA17000E
17	aarav fragrances and flavors private limited	27AAGCA2145K1ZP	aarav fragrances and flavors private limited	PNEA09268A
18	aar bee enterprise	19ABSFA2470M1ZU	aar bee enterprise	CALA27903B
19	aaren intpro	29AABFP3700F1ZL	aaren intpro	BLRP00735A
20	aar gee formulation	02AAPFA4325D1ZZ	aar gee formulations	PTLA14230G
21	aarkay associate	09AAEFA2539A1ZY	aar kay associate	AGRA10313C
22	aar kay forge p ltd	06AABCA5370R1ZB	aar kay forge p ltd	RTKA02100A
23	aarpik pharmaceuticals pvt ltd	24AABCA3157E1Z7	aarpik pharmaceuticals pvt ltd	AHMA01390E
24	aarpik pharmaceuticals pvt ltd	24AABCA3157E1Z7	aarpik pharmaceuticals pvt ltd	AHMA01390E
25	aarti industries ltd	24AABCA2787L1ZI	aarti industries ltd	MUMA09455F
26	aarti industries ltd	27AABCA2787L1ZC	aarti industries ltd	MUMA09455F
27	aashirvad autotech guj pvt ltd	24AAECA7228D1Z2	aashirvad autotech guj pvt ltd	BRDA01588G
28	aastha pharmaceuticals	07ABEFA2669J1ZA	aastha pharmaceuticals	DELA48531A
29	aastrid international pvt ltd	27AAECA1669G1ZP	aastrid international pvt ltd	MUMA18477E
30	abelin polymers	27AAAFA1942R1Z8	abelin polymers	MUMA10995F
31	abhilash life sciences lllp	33ABHFA6742M2Z7	abhilash life sciences llp	MRIA04299B
32	abhi metals	24ABCFA9351R1ZZ	abhi metals	RKTA04734C
33	abhinav electrical industries	26AAHFA8603N1Z7	abhinav electrical industries	MUMA19024F
34	abhirashi impex	06AATFA2989H1ZX	abhirashi impex	RTKA06772D
35	ab international	27AALCA7170P1ZZ	ab international	RKTA05600A
36	abis exports india pvt ltd	03AACCA2881J1ZU	abis exports india pvt ltd	JBPA00884C
37	abis exports india pvt ltd	22AACCA2881J1ZU	abis exports india pvt ltd	JBPA00884C
38	abs mercantiles pvt ltd	06AABCA8568R1ZX	abs mercantiles pvt ltd	DELA07751C
